10 	0.1243624687
20 	0.1243767738
30 	0.1243890921
40 	0.1244049072
50 	0.1244173845
60 	0.1244412263
70 	0.1244533857
80 	0.1244688829
90 	0.1244808833
100 	0.1244935989
200 	0.1246263186
300 	0.1247584820
400 	0.1248909632
500 	0.1250227292
600 	0.1251555284
700 	0.1252901554
800 	0.1254231930
900 	0.1255565484
1000 	0.1256877581
2000 	0.1270104249
3000 	0.2345844110
4000 	0.2359075546
5000 	0.3142546813
6000 	0.3155840238
7000 	0.4121887684
8000 	0.4135052363
9000 	0.5050155322
10000 	0.5063332717
11000 	0.5893389384
12000 	0.5906685988
13000 	0.6666076183
14000 	0.6679329872
15000 	0.7402979533
17500 	0.8009543419
20000 	0.8687057495
22500 	0.9698065917
25000 	1.0553737481
30000 	1.2046782176
35000 	1.4182848930
40000 	1.5531459649
45000 	1.8085412184
50000 	1.9480215708
60000 	2.3051830133
70000 	2.6282529036
80000 	3.0406794548
90000 	3.3465952873
100000 	3.7090170383
110000 	4.1885929108
120000 	4.6048016548
130000 	5.0697289308
140000 	5.4652808507
150000 	5.9712266127
160000 	6.3367834886
170000 	6.8479393323
180000 	7.2143403689
190000 	7.6827329795
200000 	8.1948730151
300000 	12.8822199504
400000 	16.9138704936
500000 	20.3953634898
600000 	24.2223751545
700000 	29.0132673581
800000 	34.6275560061
900000 	39.2822093964
1000000 	43.5789352258
1100000 	48.0318015416
1200000 	52.0756739775
1300000 	55.8130412896
1400000 	60.0138316949
1500000 	63.6831419468
1600000 	67.9109675884
1700000 	71.5952776273
1800000 	75.8007583618
1900000 	79.7182120482
2000000 	83.5271332264
3000000 	127.7284967105
4000000 	177.3236310482
5000000 	230.2547020912
6000000 	280.8509323597
7000000 	332.6940309207
8000000 	390.0924711227
9000000 	449.7200264931
10000000 	0.0000000000
