10 	1.1611718439
20 	1.1611894009
30 	1.1612032793
40 	1.1612157307
50 	1.1612273415
60 	1.1612469359
70 	1.1612560915
80 	1.1612644099
90 	1.1612717728
100 	1.1612800490
200 	1.1613240752
300 	1.1613402414
400 	1.1613460820
500 	1.1613482562
600 	1.1613490564
700 	1.1613493388
800 	1.1613494432
900 	1.1613494814
1000 	1.1613494953
2000 	1.1613495036
3000 	1.1613495038
4000 	1.1613495038
5000 	1.1613495038
6000 	1.1613495038
7000 	1.1613495038
8000 	1.1613495038
9000 	1.1613495038
10000 	1.1613495038
11000 	1.1613495038
12000 	1.1613495038
13000 	1.1613495038
14000 	1.1613495038
15000 	1.1613495038
17500 	1.1613495038
20000 	1.1613495038
22500 	1.1613495038
25000 	1.1613495038
30000 	1.1613495038
35000 	1.1613495038
40000 	1.1613495038
45000 	1.1613495038
50000 	1.1613495038
60000 	1.1613495038
70000 	1.1613495038
80000 	1.1613495038
90000 	1.1613495038
100000 	1.1613495038
110000 	1.1613495038
120000 	1.1613495038
130000 	1.1613495038
140000 	1.1613495038
150000 	1.1613495038
160000 	1.1613495038
170000 	1.1613495038
180000 	1.1613495038
190000 	1.1613495038
200000 	1.1613495038
300000 	1.1613495038
400000 	1.1613495038
500000 	1.1613495038
600000 	1.1613495038
700000 	1.1613495038
800000 	1.1613495038
900000 	1.1613495038
1000000 	1.1613495038
1100000 	1.1613495038
1200000 	1.1613495038
1300000 	1.1613495038
1400000 	1.1613495038
1500000 	1.1613495038
1600000 	1.1613495038
1700000 	1.1613495038
1800000 	1.1613495038
1900000 	1.1613495038
2000000 	1.1613495038
3000000 	1.1613495038
4000000 	0.0000000000
5000000 	0.0000000000
6000000 	0.0000000000
7000000 	0.0000000000
8000000 	0.0000000000
9000000 	0.0000000000
10000000 	0.0000000000
