10 	0.7713388602
20 	0.7713549137
30 	0.7713694572
40 	0.7713834445
50 	0.7713971138
60 	0.7714244525
70 	0.7714380423
80 	0.7714556058
90 	0.7714687983
100 	0.7714828650
200 	0.7716312408
300 	0.7717762788
400 	0.7719233831
500 	0.7720655600
600 	0.7722086112
700 	0.7723519007
800 	0.7724966208
900 	0.7726488908
1000 	0.7727922599
2000 	0.7742420832
3000 	0.8782668908
4000 	0.8801429272
5000 	0.9744780858
6000 	0.9761994680
7000 	1.0780295531
8000 	1.0794840654
9000 	1.1741660436
10000 	1.1756081581
11000 	1.2811205387
12000 	1.2825858593
13000 	1.3826448917
14000 	1.3840909004
15000 	1.4829992453
17500 	1.5900262992
20000 	1.6962602139
22500 	1.9006608327
25000 	1.9996914069
30000 	2.1975776354
35000 	2.5057950815
40000 	2.7137901783
45000 	3.0196581682
50000 	3.2188404401
60000 	3.7290120920
70000 	4.2108399868
80000 	4.7046367327
90000 	5.1872680982
100000 	5.6655710538
110000 	6.1607563496
120000 	6.6519801617
130000 	7.1366322835
140000 	7.6181639830
150000 	8.1115364234
160000 	8.6012105942
170000 	9.1036831538
180000 	9.6003998915
190000 	10.1041743755
200000 	10.5894130866
300000 	15.5088290373
400000 	20.5014043649
500000 	25.4846217632
600000 	30.5199632645
700000 	35.4994681676
800000 	40.4465289911
900000 	45.4047378699
1000000 	50.3600159486
1100000 	55.3315040270
1200000 	60.2797331810
1300000 	65.3691172600
1400000 	70.3595785300
1500000 	75.3294582367
1600000 	80.1998854478
1700000 	84.9886943499
1800000 	89.8260858854
1900000 	94.6421655814
2000000 	99.6250723203
3000000 	153.2306477229
4000000 	206.0698548158
5000000 	0.0000000000
6000000 	0.0000000000
7000000 	0.0000000000
8000000 	0.0000000000
9000000 	0.0000000000
10000000 	0.0000000000
