10 	0.1093632380
20 	0.1093778610
30 	0.1093908946
40 	0.1094032923
50 	0.1094157696
60 	0.1094398499
70 	0.1094520887
80 	0.1094642480
90 	0.1094767253
100 	0.1094892820
200 	0.1096196175
300 	0.1097548008
400 	0.1098873615
500 	0.1100180944
600 	0.1101484299
700 	0.1102836132
800 	0.1104171276
900 	0.1105472247
1000 	0.1106804212
2000 	0.1120108763
3000 	0.1948645115
4000 	0.1961920261
5000 	0.2698229949
6000 	0.2711484432
7000 	0.3358395894
8000 	0.3371621768
9000 	0.4193661213
10000 	0.4206991990
11000 	0.5071707567
12000 	0.5089633465
13000 	0.5821868579
14000 	0.5841186841
15000 	0.6442379951
17500 	0.7305300236
20000 	0.8140398661
22500 	0.9450019995
25000 	1.0164275169
30000 	1.1830999056
35000 	1.3757040501
40000 	1.4951826731
45000 	1.6435787678
50000 	1.7395411332
60000 	1.9917533398
70000 	2.2716049353
80000 	2.5238789717
90000 	2.8146301111
100000 	3.1221593221
110000 	3.3907329241
120000 	3.7222079436
130000 	4.0495593548
140000 	4.3902374109
150000 	4.7736824354
160000 	5.1225407124
170000 	5.3633342584
180000 	5.6956208547
190000 	6.0550644398
200000 	6.4481847286
300000 	9.2937239806
400000 	12.1063166459
500000 	14.6579515934
600000 	17.3317131201
700000 	20.1037391027
800000 	23.2486203512
900000 	26.2024161021
1000000 	29.2727959156
1100000 	32.2392261028
1200000 	34.9509689808
1300000 	37.9301485221
1400000 	40.8196490606
1500000 	43.5985935529
1600000 	46.6775557995
1700000 	49.6043442885
1800000 	52.4241924286
1900000 	54.6042606831
2000000 	57.9500641028
3000000 	0.0000000000
4000000 	0.0000000000
5000000 	0.0000000000
6000000 	0.0000000000
7000000 	0.0000000000
8000000 	0.0000000000
9000000 	0.0000000000
10000000 	0.0000000000
