10 	0.1261068980
20 	0.1261212826
30 	0.1261340777
40 	0.1261464755
50 	0.1261603832
60 	0.1261846224
70 	0.1261969407
80 	0.1262091001
90 	0.1262212594
100 	0.1262339751
200 	0.1263678074
300 	0.1265030702
400 	0.1266347567
500 	0.1267654896
600 	0.1268978914
700 	0.1270326773
800 	0.1271710396
900 	0.1273041566
1000 	0.1274419626
2000 	0.1287817160
3000 	0.2083773613
4000 	0.2097100417
5000 	0.3019355138
6000 	0.3032717705
7000 	0.3714550336
8000 	0.3727778594
9000 	0.4663229783
10000 	0.4676457246
11000 	0.5409063498
12000 	0.5422389507
13000 	0.5957697233
14000 	0.5971032778
15000 	0.6771026452
17500 	0.7471133868
20000 	0.8207309246
22500 	0.9786354701
25000 	1.0248988469
30000 	1.1405579249
35000 	1.3341970444
40000 	1.4737312794
45000 	1.6108191013
50000 	1.7406055927
60000 	2.0185501575
70000 	2.3843939304
80000 	2.7122846444
90000 	3.0630814234
100000 	3.3591843446
110000 	3.6481829484
120000 	3.8651238283
130000 	4.1839474837
140000 	4.4975803693
150000 	4.7111056646
160000 	5.0432518323
170000 	5.3442704678
180000 	5.6609820525
190000 	5.8710334301
200000 	6.2432898680
300000 	8.8910765648
400000 	11.8211560249
500000 	14.7344714801
600000 	17.5957835515
700000 	20.6036784649
800000 	23.5858657360
900000 	26.3020788034
1000000 	29.4471778075
1100000 	32.3609106541
1200000 	35.3705359300
1300000 	38.7684605916
1400000 	0.0000000000
1500000 	0.0000000000
1600000 	0.0000000000
1700000 	0.0000000000
1800000 	0.0000000000
1900000 	0.0000000000
2000000 	0.0000000000
3000000 	0.0000000000
4000000 	0.0000000000
5000000 	0.0000000000
6000000 	0.0000000000
7000000 	0.0000000000
8000000 	0.0000000000
9000000 	0.0000000000
10000000 	0.0000000000
