10 	0.0589447816
20 	0.0589707692
30 	0.0589898427
40 	0.0590087573
50 	0.0590275129
60 	0.0590615273
70 	0.0590798060
80 	0.0590978463
90 	0.0591162046
100 	0.0591344833
200 	0.0593299866
300 	0.0595300198
400 	0.0597241720
500 	0.0599199136
600 	0.0601156553
700 	0.0603087743
800 	0.0605074565
900 	0.0607001781
1000 	0.0608961582
2000 	0.0628466606
3000 	0.1000281970
4000 	0.1013518969
5000 	0.1276755333
6000 	0.1290900707
7000 	0.1495404243
8000 	0.1508709590
9000 	0.1743969123
10000 	0.1757151286
11000 	0.1957066059
12000 	0.1970340411
13000 	0.2134794394
14000 	0.2148010731
15000 	0.2318108877
17500 	0.2491904895
20000 	0.2634673913
22500 	0.2880944411
25000 	0.3014838696
30000 	0.3257712523
35000 	0.3612987200
40000 	0.3859628836
45000 	0.4203430017
50000 	0.4460107485
60000 	0.5107516448
70000 	0.5706724326
80000 	0.6291600068
90000 	0.6840918064
100000 	0.7356660366
110000 	0.7901442846
120000 	0.8400993347
130000 	0.8965164820
140000 	0.9477351507
150000 	1.0004203320
160000 	1.0474901994
170000 	1.0983458360
180000 	1.1492354075
190000 	1.2128895919
200000 	1.2773842017
300000 	1.8887511889
400000 	2.4392824173
500000 	3.0429389477
600000 	3.5161074003
700000 	4.0824854374
800000 	4.7413864930
900000 	5.4530580839
1000000 	6.0585831801
1100000 	6.8500014146
1200000 	7.4803425471
1300000 	8.0085715453
1400000 	8.5409169197
1500000 	9.2218503157
1600000 	9.7642761072
1700000 	10.3725269636
1800000 	10.8951772054
1900000 	11.4116749763
2000000 	11.8968154589
3000000 	18.7828843594
4000000 	24.5678823789
5000000 	30.2864913146
6000000 	36.0409642061
7000000 	42.3875928720
8000000 	48.2153945764
9000000 	0.0000000000
10000000 	0.0000000000
