10 	0.0400387446
20 	0.0400555134
30 	0.0400709311
40 	0.0400864283
50 	0.0401019255
60 	0.0401271184
70 	0.0401422977
80 	0.0401628812
90 	0.0401782990
100 	0.0401942730
200 	0.0403571924
300 	0.0405209064
400 	0.0406858921
500 	0.0408566793
600 	0.0410211086
700 	0.0411888758
800 	0.0413529078
900 	0.0415240924
1000 	0.0416898727
2000 	0.0432256858
3000 	0.0823889573
4000 	0.0836475690
5000 	0.1292464733
6000 	0.1309194565
7000 	0.1743272146
8000 	0.1755908330
9000 	0.2246458530
10000 	0.2259016832
11000 	0.2589952946
12000 	0.2602461974
13000 	0.2944071293
14000 	0.2956607342
15000 	0.3273277283
17500 	0.3634227117
20000 	0.4025873343
22500 	0.4699920813
25000 	0.5046469371
30000 	0.5751409531
35000 	0.6733507315
40000 	0.7525198460
45000 	0.8583268325
50000 	0.9325286547
60000 	1.0986115932
70000 	1.2793897788
80000 	1.4485704104
90000 	1.6268207232
100000 	1.8105009397
110000 	1.9791882038
120000 	2.1624478499
130000 	2.3454048634
140000 	2.5186653137
150000 	2.6988376776
160000 	2.8850934505
170000 	3.0709229310
180000 	3.2645161152
190000 	3.4402750333
200000 	3.6110406717
300000 	5.4228859742
400000 	7.2355934779
500000 	9.0299811363
600000 	10.8132661184
700000 	12.6481922468
800000 	14.4090270996
900000 	16.1959447066
1000000 	17.9711379210
1100000 	19.7569691340
1200000 	21.5493027369
1300000 	23.3604884148
1400000 	25.1374454498
1500000 	26.9191506704
1600000 	28.7146786054
1700000 	30.5128198465
1800000 	32.2925376892
1900000 	34.0606666406
2000000 	35.8862210115
3000000 	53.7341759205
4000000 	71.6502397855
5000000 	89.4213608901
6000000 	107.3606579304
7000000 	125.2571818034
8000000 	0.0000000000
