10 	28.0275818507
20 	28.0275961558
30 	28.0276101430
40 	28.0276228587
50 	28.0276352564
60 	28.0276602109
70 	28.0276724497
80 	28.0276846091
90 	28.0276967684
100 	28.0277091662
200 	28.0278417269
300 	28.0279753208
400 	28.0281042258
500 	28.0282333692
600 	28.0283639431
700 	28.0284932454
800 	28.0286209583
900 	28.0287512143
1000 	28.0288790067
2000 	28.0301756064
3000 	56.0427831809
4000 	56.0440770785
5000 	83.2704928716
6000 	83.2717936039
7000 	108.8620657921
8000 	108.8633712928
9000 	135.0667308966
10000 	135.0680284500
11000 	162.3447072506
12000 	162.3460068703
13000 	189.1197529634
14000 	189.1210560004
15000 	217.1370363235
17500 	246.2932493687
20000 	274.5027032693
22500 	326.8251422246
25000 	354.2378914356
30000 	405.4330813885
35000 	481.3053562641
40000 	538.3891696135
45000 	628.3378609816
50000 	689.3622643948
60000 	831.5076580048
70000 	995.2791694005
80000 	1143.8968593280
90000 	1287.2456098398
100000 	1423.7229404449
110000 	1568.3159190814
120000 	1704.1941689650
130000 	587.4056488673
140000 	0.0000000000
150000 	0.0000000000
160000 	0.0000000000
170000 	0.0000000000
180000 	0.0000000000
190000 	0.0000000000
200000 	0.0000000000
300000 	0.0000000000
400000 	0.0000000000
500000 	0.0000000000
600000 	0.0000000000
700000 	0.0000000000
800000 	0.0000000000
900000 	0.0000000000
1000000 	0.0000000000
1100000 	0.0000000000
1200000 	0.0000000000
1300000 	0.0000000000
1400000 	0.0000000000
1500000 	0.0000000000
1600000 	0.0000000000
1700000 	0.0000000000
1800000 	0.0000000000
1900000 	0.0000000000
2000000 	0.0000000000
3000000 	0.0000000000
4000000 	0.0000000000
5000000 	0.0000000000
6000000 	0.0000000000
6500000 	0.0000000000
